HH,DAY,TOWN,YEARS,SEX,AGE,STATUS,EDUC,DISABLED,HEAD,SEX_HH,AGE_HH,STATUS_HH,EDUC_HH,DISABLED_HH,AGE_HH_SPOUSE,EDUC_HH_SPOUSE,DISABLED_HH_SPOUSE,HH_SIZE,N_ADULTS,PRIMARY_WS,SUFFICIENT_WATER,TOTAL_TIME,PAY_WATER,TOTAL_COST,ELECTRIC,TOTAL_INCOME,TIME_LENGTH
15,11,0,4,0,32,1,9999,0,1,0,32,1,9999,0,20,1,0,7,5,4,1,7,0,0,1,NA,60
1,10,0,3,0,43,2,2,0,1,0,43,2,2,0,36,4,0,6,4,2,1,0,1,350,1,NA,52
2,11,0,23,0,56,1,3,0,1,0,56,1,3,0,55,1,0,6,4,2,1,0,1,300,1,NA,60
3,11,0,0.583333333,0,22,2,4,0,1,0,22,2,4,0,20,3,0,6,3,4,1,42,1,608.3333333,1,NA,55
4,11,0,10,0,35,2,5,0,1,0,35,2,5,0,23,4,0,5,3,2,1,0,1,330,1,3000,60
5,11,0,20,0,65,1,1,1,1,0,65,1,1,1,45,1,0,7,3,2,1,0,1,350,1,10000,65
6,11,0,24,0,55,1,3,1,1,0,55,1,3,1,47,1,0,5,3,2,1,0,0,0,1,NA,86
7,11,0,0.166666667,0,35,2,3,0,1,0,35,2,3,0,30,1,0,5,2,4,1,15,1,300,1,NA,61
8,11,0,34,0,34,3,2,0,1,0,34,3,2,0,9998,9998,9998,3,1,2,1,0,0,0,1,NA,50
9,11,0,8,0,52,1,4,0,1,0,52,1,4,0,50,3,0,7,6,2,0,0,0,0,1,NA,53
10,11,0,12,0,34,1,2,0,1,0,34,1,2,0,28,4,0,7,3,4,1,25,1,456.25,1,3000,78
11,12,0,3,0,50,2,3,0,1,0,50,2,3,0,34,1,0,2,2,5,1,9,1,360,0,NA,48
12,12,0,20,1,40,1,2,0,0,0,50,1,5,0,40,2,0,6,5,2,0,0,1,141,1,3000,45
13,12,0,16,0,46,1,3,0,1,0,46,1,3,0,25,2,0,9,2,4,1,9,1,620,1,NA,53
14,12,0,4,0,23,1,3,0,1,0,23,1,3,0,21,3,0,7,4,2,1,0,0,0,1,15208.33333,69
15,12,0,15,1,58,1,1,0,0,0,62,1,3,0,58,1,0,4,2,2,1,0,1,375,1,NA,33
